,sentences,labels
0,Add another song to the Cita Romántica playlist. ,add_to_playlist
1,add clem burke in my playlist Pre-Party R&B Jams,add_to_playlist
2,Add Live from Aragon Ballroom to Trapeo,add_to_playlist
3,add Unite and Win to my night out,add_to_playlist
4,Add track to my Digster Future Hits,add_to_playlist
5,add the piano bar to my Cindy Wilson,add_to_playlist
6,Add Spanish Harlem Incident to cleaning the house,add_to_playlist
7,add The Greyest of Blue Skies in Indie Español my playlist,add_to_playlist
8,Add the name kids in the street to the plylist New Indie Mix,add_to_playlist
9,add album radar latino,add_to_playlist
10,Add Tranquility to the Latin Pop Rising playlist. ,add_to_playlist
11,Add d flame to the Dcode2016 playlist.,add_to_playlist
12,Add album to my fairy tales,add_to_playlist
13,I need another artist in the New Indie Mix playlist. ,add_to_playlist
14,Add to playlist i love my neo soul the name national treasure book of secrets,add_to_playlist
15,Add the fire and the wind to my Digster Future Hits playlist.,add_to_playlist
16,add Caleigh Peters to my women of country list,add_to_playlist
17,add children of telepathic experiences to the playlist named baladas románticas,add_to_playlist
18,add 9th Inning to my bossa nova dinner playlist,add_to_playlist
19,I need another tune in my legendary guitar solos playlist. ,add_to_playlist
20,Add Slimm Cutta Calhoun to my this is prince playlist. ,add_to_playlist
21,Add Always to dena's Baroque 50 Spotify Picks playlist. ,add_to_playlist
22,add song to Sleepytime,add_to_playlist
23,Add an album to my list La Mejor Música Dance 2017,add_to_playlist
24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist",add_to_playlist
25,Add the album to the psychedelic rock playlist ,add_to_playlist
26,Can you add Esquivando charcos to my playlist entitled the piano bar,add_to_playlist
27,Add wiktor coj to the Sleep playlist.,add_to_playlist
28,Incorporate time warp into my fairy tales playlist. ,add_to_playlist
29,add this MakSim tune to Trad Folk,add_to_playlist
30,add tune to my playlist eletro br,add_to_playlist
31,Add this tune to my Dinnertime Acoustics list,add_to_playlist
32,add monsters this is prince playlist,add_to_playlist
33,add a tune in Chill Vibes,add_to_playlist
34,Can you add a track to my Spain Top 50 playlist,add_to_playlist
35,put this album by Mike Tramp on Deathcore,add_to_playlist
36,Add ross the boss to laurie's listas de éxitos list,add_to_playlist
37,Add some Beatmaster V to the This Is Nicky Jam playlist. ,add_to_playlist
38,add paulinho da viola to my Radio Rock song list,add_to_playlist
39,add Eef Barzelay to my Country Coffeehouse,add_to_playlist
40,Add this artist to queen playlist,add_to_playlist
41,add Olga Souza to virginia's femme fatale playlist,add_to_playlist
42,Add an album by m g sreekumar to my laidback acoustic playlist.,add_to_playlist
43,Add this album to my spotify orchestra cello playlist,add_to_playlist
44,I want to put goldy mcjohn on my Rock Party playlist,add_to_playlist
45,Add this song to noreen's fresh finds six strings,add_to_playlist
46,A Shawnna to the Warm Hearts Feel Good playlist.,add_to_playlist
47,Add this tune to Rock Save The Queen,add_to_playlist
48,Add Firehouse to my acoustic soul list.,add_to_playlist
49,add this david cole track to my Totally Stress Free,add_to_playlist
50,Add Progress to my clásica para todos playlist. ,add_to_playlist
51,Add the artist  tony thompson to my canta en la ducha playlist,add_to_playlist
52,Add the artist to my This Is Mozart playlist.,add_to_playlist
53,Add this track to downtempo beats,add_to_playlist
54,Add Quicksand to my valentine's day love playlist,add_to_playlist
55,Add feel the passion to my this is kudai playlist. ,add_to_playlist
56,add this song to my us latin top 50 playlist,add_to_playlist
57,Put this artist in Pachangueo Total,add_to_playlist
58,add vl mike to my Dcode2016 playlist,add_to_playlist
59,add how to my week end playlist,add_to_playlist
60,Add Norma Jean to my pure rock & roll playlist.,add_to_playlist
61,Add Kirk Hammett to Calm Down,add_to_playlist
62,Add On with the Show to my Beast Mode playlist,add_to_playlist
63,add kjetil vidar haraldstad to listas de éxitos,add_to_playlist
64,can you add xanadu to Latin Alternative Music,add_to_playlist
65,add this track to krystal's piano 100,add_to_playlist
66,Can you put this track onto the playlist the selektor?,add_to_playlist
67,my jazz for loving couples needs more push the button,add_to_playlist
68,add the album the martin garrix show to my playlist,add_to_playlist
69,add gina schock to workout twerkout,add_to_playlist
70,Add this tune to cristina's endorphin rush playlist,add_to_playlist
71,add this tune to my It's a Southern Thing playlist,add_to_playlist
72,add Ik Tara to laundry playlst,add_to_playlist
73,Add this tune to This Is Nicky Jam,add_to_playlist
74,Can you add something by the artist Paul Cargnello to my Chill Tracks playlist,add_to_playlist
75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country,add_to_playlist
76,Put The Orange and the Green on Los 40 Radio Éxitos,add_to_playlist
77,Add an album by Liza Oumarova to the Steampunk playlist.,add_to_playlist
78,Please add a song to ines's playlist called Metal Party,add_to_playlist
79,For playlist todo latino add Absolutely Sweet Marie,add_to_playlist
80,add gn to night vibes,add_to_playlist
81,Can you add Blood On The Face to the playlist called Heartland Country,add_to_playlist
82,The spring classical playlist needs Partners in Crime added to it. ,add_to_playlist
83,add the artist Tomohisa Yamashita to the conexiones playlist,add_to_playlist
84,Add Written in Red to my cleaning the house playlist. ,add_to_playlist
85,Add cordell mosson to my i love my neo soul list,add_to_playlist
86,add album to Feeling Blue,add_to_playlist
87,I want to put another album into the a peaceful rush hour playlist. ,add_to_playlist
88,Open my acoustic concentration playlist and play an entire album,add_to_playlist
89,add sonntag to my Assassin's Creed,add_to_playlist
